id,setId,name,faction,mainDeck,cost,type,subtype,sets,atk,hp,keywords,flip,face,singularity,description,imageId
dcs_02_001ex,DCS-02-001 EX,"Ivo, Head of the Secret Police",Red,Protagonist,6,Protagonist,Supporter,Dawn of the Celestial Shadow,,18,"frazzle, blood tithe",FALSE,1,TRUE,"FRAZZLE: Play a Blood Tithe from your Persona Deck. Activate this ability only during your main phase and only once per turn.
Whenever a Character you control would take damage to pay a [BLOOD TITHE], put that many cards from the top of your deck into your graveyard instead.",dcs_02_001_ex
dcs_02_002ex,DCS-02-002 EX,"Lucrezia, Progenitor of Vampires",Red,Protagonist,8,Protagonist,Vampire,"Dawn of the Celestial Shadow, Structure Deck: Blood Harvest",0,20,"flip, turn end, add",TRUE,1,TRUE,"[TURN END]: Add a Blood Tithe from your Persona Deck to your hand. Otherwise, if your Persona Deck is empty, flip this card.",dcs_02_002_f_ex
dcs_02_002ex,DCS-02-002 EX,"Lucrezia, Progenitor of Vampires",Red,Protagonist,8,Protagonist,Vampire,"Dawn of the Celestial Shadow, Structure Deck: Blood Harvest",3,20,"alter ego, breakthrough, enter, deal, heal",TRUE,2,TRUE,"[ALTER EGO 5] [BREAKTHROUGH]
[ENTER]: Deal 2 damage to target Character, then [HEAL 2] target Vampire.",dcs_02_002_r_ex
dcs_02_003ex,DCS-02-003 EX,Burning Blood,Red,Persona,0,Action,Blood Tithe,Dawn of the Celestial Shadow,,,"blood tithe, deal",FALSE,1,FALSE,"[BLOOD TITHE 1]: Deal X damage to target Character, where X is the damage on it.",dcs_02_003_ex
dcs_02_004ex,DCS-02-004 EX,Bond of Eternal Subservience,Red,Persona,0,Action,Blood Tithe,"Dawn of the Celestial Shadow, Structure Deck: Blood Harvest",,,"blood tithe, put into play",FALSE,1,FALSE,[BLOOD TITHE 2]: Search your deck for a Supporter and put it into play.,dcs_02_004_ex
dcs_02_005ex,DCS-02-005 EX,Lesser Hemomancy,Red,Persona,0,Action,Blood Tithe,"Dawn of the Celestial Shadow, Structure Deck: Blood Harvest",,,"blood tithe, preemptive strike, heal",FALSE,1,FALSE,"[BLOOD TITHE 2]: Target Vampire you control gets [PREEMPTIVE STRIKE] and “Whenever this card deals combat damage, [HEAL X] target card, where X is the dealt damage” until end of turn.",dcs_02_005_ex
dcs_02_006ex,DCS-02-006 EX,Ritual of Rebirth,Red,Persona,0,Action,Blood Tithe,"Dawn of the Celestial Shadow, Structure Deck: Blood Harvest",,,"blood tithe, graveyard, put into play",FALSE,1,FALSE,[BlOOD TITHE 2]: Return target Vampire that costs 2 or less from your graveyard to play.,dcs_02_006_ex
dcs_02_007ex,DCS-02-007 EX,Blood Scythe,Red,Persona,0,Action,Blood Tithe,"Dawn of the Celestial Shadow, Structure Deck: Blood Harvest",,,"blood tithe, breakthrough, buff",FALSE,1,FALSE,[BLOOD TITHE 3]: Target Vampire gets +1 ATK and [BREAKTHROUGH] until end of turn.,dcs_02_007_ex
dcs_02_008ex,DCS-02-008 EX,Brutal Frenzy,Red,Persona,0,Action,Blood Tithe,Dawn of the Celestial Shadow,,,"blood tithe, assault, explosion",FALSE,1,FALSE,[BlOOD TITHE 3]: Target Vampire gets [ASSAULT] or [EXPLOSION 1] until end of turn.,dcs_02_008_ex
dcs_02_009ex,DCS-02-009 EX,Crimson Cage,Red,Persona,0,Action,Blood Tithe,Dawn of the Celestial Shadow,,,"blood tithe, shield, debuff",FALSE,1,FALSE,[BlOOD TITHE 3]: All opposing Characters gets -1 ATK and lose [SHIELD 1] until end of turn.,dcs_02_009_ex
